,Cruise Name,Sample #,Date,Time GMT,Station Number,LabelC,Description,Description_label,DateTime,Datenum,Latitude,Longitude,Phycoeryth(RFU),CDOM(RFU),Chlorophyll_a(RFU),Turbidity(RFU),Depth(m),Temp(C),WDIR,WSPD,ATMP,WTMP,Salinity (PSU),Ratio,Ratio
0,R/V Sikuliaq,1,8/29/2017,6:40,1,Test,Test Station,Test St.,8/29/2017 6:40,736936.277777778,71.7038494545,-153.2209967273,10.65654169,194.5629546726,56040.223838836,17.4232568551,11.3341130386,6.0571740347,339.5,9.5,4.2,4.95,26.6,185.3099547511,185.3099547511
1,R/V Sikuliaq,3,8/30/2017,18:26,5,2A,WPNT 2.2 A,2.2,8/30/2017 18:26,736937.768055556,71.4097384286,-151.0100227857,10.6303525462,161.8892669278,69.0646670397,14.7789815333,11.3001454952,5.850962507,86,15.3,3.675,3.9,27.8,10.2191067494,10.2191067494
2,R/V Sikuliaq,5,8/30/2017,19:59,7,2A,WPNT 2.4 A,2.4,8/30/2017 19:59,736937.832638889,71.3404578333,-151.0428995,10.6293228875,208.6189143816,55.620772244,16.1654392837,11.294034695,5.7338052602,88.6,15.8,3.46,3.9,28.3,165.6140035907,165.6140035907
3,R/V Sikuliaq,7,8/30/2017,23:22,9,2A,WPNT 2.6 A,2.6,8/30/2017 23:22,736937.973611111,71.2431075,-151.1135155,10.6303301623,206.0089983212,43.9465249021,16.6168102966,11.294426413,5.7337101287,84.6,16.48,2.9,3.9,28.7,49.2486891386,49.2486891386
4,R/V Sikuliaq,9,8/30/2017,1:30,11,2A,WPNT 2.8 A,2.8,8/30/2017 1:30,736937.0625,71.1535316667,-151.1765011667,10.6386345831,156.0443648573,58.6363066592,15.5067935087,11.3008337997,5.8877168439,292,8,3.46,4.72,29.5,12.9858664482,12.9858664482
5,R/V Sikuliaq,11,8/31/2017,3:56,13,2A,WPNT 2.10 A,2.10,8/31/2017 3:56,736938.163888889,71.062505625,-151.228051375,10.6412982652,120.7037045327,75.2195187465,15.3635142697,11.2902630106,5.3127028539,,,,,29.2,31.4164383562,31.4164383562
6,R/V Sikuliaq,13,8/31/2017,16:55,20,4A,WPNT 4.1 A,4.10,8/31/2017 16:55,736938.704861111,71.408064,-150.2448085,10.6317179631,174.1642977057,105.7392053721,14.3506883044,11.2549524342,6.4389199776,80.6,14.68,1.38,3.8,27.3,5.4613417273,5.4613417273
7,R/V Sikuliaq,15,8/31/2017,21:50,22,4A,WPNT 4.3 A,4.3,8/31/2017 21:50,736938.909722222,71.32366775,-150.279852875,10.6047453833,106.782115277,82.6221600448,12.8127140459,11.2353665361,6.2369613878,85,14.06,2.18,3.62,27.9,4.689689441,4.689689441
8,R/V Sikuliaq,17,9/1/2017,1:58,24,4A,WPNT 4.5 A,4.5,9/1/2017 1:58,736939.081944445,71.2300634,-150.2752443,10.6363290431,146.8939451595,81.7721320649,14.2929378847,11.282115277,5.5905987689,92.5,13.425,2.175,3.6,29,6.5502490478,6.5502490478
9,R/V Sikuliaq,19,9/1/2017,6:38,26,4A,WPNT 4.7 A,4.7,9/1/2017 6:38,736939.276388889,71.13896925,-150.358945625,10.6488640179,146.5144935646,336.9820705092,14.9366312255,11.2922439843,5.7365864578,93.4,12.32,2.2,3.8,28.8,5.7342693708,5.7342693708
10,R/V Sikuliaq,21,9/1/2017,21:18,37,2B,WPNT 2.2 B,2.2,9/1/2017 21:18,736939.8875,71.4305225,-150.978963,10.6367095691,94.4400447678,67.4833799664,12.6852154449,11.2791885842,5.7976552882,92.4,7.32,4.32,4.26,28.2,1.4948203886,1.4948203886
11,R/V Sikuliaq,23,9/2/2017,4:40,39,2B,WPNT 2.4 B,2.4,9/2/2017 4:40,736940.194444445,71.3353765556,-151.084017,10.6481925014,170.540570789,118.7254392837,14.8957358702,11.2730106323,6.2974762171,78,7.275,3.45,6.3,28.1,1.7866361789,1.7866361789
12,R/V Sikuliaq,25,9/2/2017,7:21,42,2B,WPNT 2.6 B,2.6,9/2/2017 7:21,736940.30625,71.242430375,-151.148814125,10.6518186905,176.8257414661,46.2114157806,15.6647118075,11.2812702854,6.0935142697,87.75,6.925,3.4,4.025,28.3,1.5308769119,1.5308769119
13,R/V Sikuliaq,27,9/2/2017,9:37,44,2B,WPNT 2.8 B,2.8,9/2/2017 9:37,736940.400694444,71.151969,-151.1993908333,10.6327252378,187.37423615,92.5527923895,17.036731953,11.2936261891,5.4539227756,90.8,6.16,3.24,3.8,29.1,2.1974619746,2.1974619746
14,R/V Sikuliaq,29,9/2/2017,11:47,46,2B,WPNT 2.10 B,2.10,9/2/2017 11:47,736940.490972222,71.0606738333,-151.256842,10.6260772244,166.5931729155,122.0380078344,28.213654169,11.2928427532,5.2537269166,78,6.76,3.16,3.6,29.5,5.3776595745,5.3776595745
15,R/V Sikuliaq,31,9/3/2017,8:35,53,2C,WPNT 2.2 C,2.2,9/3/2017 8:35,736941.357638889,71.4243195,-151.029778875,10.669233352,157.7734974818,141.6942809177,13.8441857862,11.3492557359,6.4317011752,108,2.84,4,2.9,27.3,0.9102783203,0.9102783203
16,R/V Sikuliaq,33,9/3/2017,11:45,55,2C,WPNT 2.4 C,2.4,9/3/2017 11:45,736941.489583333,71.334207,-151.087264,10.6395075546,135.1050923335,125.8719641858,13.8984443201,11.3580581981,5.6337772804,228,1.275,3.9,2.525,28.1,2.4477416947,2.4477416947
17,R/V Sikuliaq,35,9/3/2017,14:18,58,2C,WPNT 2.6 C,2.6,9/3/2017 14:18,736941.595833333,71.24307475,-151.1399325,10.6555567991,115.6308449916,499.7493005036,13.4310688304,11.3635926133,6.2272467823,160.6,1.9,4.1,2.62,28.6,2.1256595809,2.1256595809
18,R/V Sikuliaq,37,9/3/2017,16:32,60,2C,WPNT 2.8 C,2.8,9/3/2017 16:32,736941.688888889,71.1527963333,-151.1884606667,10.6441857862,166.5876217124,36.2533855624,17.6145271405,11.3664017907,5.2441969782,137.4,2.78,4.4,2.6,29.3,4.4177037117,4.4177037117
19,R/V Sikuliaq,39,9/3/2017,18:20,62,2C,WPNT 2.10 C,2.10,9/3/2017 18:20,736941.763888889,71.0621621667,-151.243974,10.6282484611,142.2386121992,76.5358925574,15.8325461668,11.3598265249,5.1595523223,243.6,4.1,4.4,2.6,29.2,2.8789432689,2.8789432689
20,R/V Sikuliaq,41,9/4/2017,14:41,72,2D,WPNT 2.2 D,2.2,9/4/2017 14:41,736942.611805556,71.425570625,-151.019276375,10.6488864018,196.5847341914,617.201343033,14.917493005,11.3109513151,6.5061052043,104.4,12.78,4.08,2.92,26.6,2.97846345,2.97846345
