Station,Latitude,Longitude
NaN,64.493978,-165.438402
NaN,64.470627,-165.46877
NaN,64.445376,-165.605657
NaN,64.617594,-166.777115
NaN,65.370531,-168.078573
NaN,69.002925,-168.016823
NaN,69.622592,-166.237817
NaN,71.78102,-154.463204
NaN,71.808239,-154.766978
NaN,71.757319,-154.215642
1,71.133056,-151.636494
1,71.739093,-153.482936
1,71.765801,-153.354869
1,71.769027,-153.342123
NaN,71.500053,-152.668209
NaN,71.356098,-152.32771
NaN,71.223518,-150.960624
NaN,71.319847,-151.276939
1,71.749781,-153.438961
5,71.391365,-151.040714
5,71.384857,-151.01912
5,71.372318,-150.97046
5,71.364697,-150.949445
5,71.422418,-151.017361
5,71.450646,-150.97245
7,71.334585,-151.068832
7,71.346441,-151.035244
9,71.243183,-151.102329
11,71.15226,-151.184665
11,71.153415,-151.175873
1,71.758606,-153.385645
1,71.764112,-153.365315
5,71.413137,-151.040966
5,71.421725,-151.020936
5,71.416064,-151.030108
5,71.435436,-150.981845
5,71.431743,-151.014076
5,71.422408,-151.025394
9,71.243883,-151.087043
1,71.76923,-153.34016
1,71.769239,-153.340131
2,71.245339,-150.553481
2,71.245345,-150.553489
3,71.267798,-150.703004
3,71.267794,-150.703015
4,71.46932,-150.988708
4,71.46932,-150.988719
5,71.424308,-151.01707
5,71.385216,-151.040374
6,71.378728,-151.04485
6,71.378722,-151.044842
7,71.333312,-151.072399
7,71.333301,-151.072371
8,71.288942,-151.099399
8,71.288943,-151.099383
9,71.243052,-151.128653
9,71.243052,-151.128692
10,71.198321,-151.157336
10,71.198329,-151.157314
11,71.152803,-151.184526
11,71.152797,-151.184486
12,71.106168,-151.213503
12,71.106565,-151.214183
13,71.061159,-151.242795
13,71.061159,-151.242795
NaN,71.693444,-153.572374
7,71.347241,-151.027895
7,71.347867,-150.980656
9,71.242448,-151.126258
9,71.243027,-151.108118
11,71.154027,-151.171427
11,71.155888,-151.15803
13,71.061585,-151.239044
13,71.062076,-151.231988
13,71.062504,-151.226511
13,71.063424,-151.217312
13,71.063233,-151.218822
13,71.064905,-151.205144
NaN,71.166818,-150.748088
NaN,71.307373,-150.663783
14,71.211743,-150.720094
14,71.21192,-150.720221
15,71.257492,-150.691319
15,71.257796,-150.691828
16,71.302867,-150.66311
16,71.303775,-150.663599
17,71.348249,-150.635106
17,71.348411,-150.635383
22,71.317729,-150.228347
22,71.32023,-150.230117
21,71.362722,-150.196158
21,71.365642,-150.199263
20,71.408074,-150.185832
20,71.409676,-150.186948
19,71.4383,-150.576752
19,71.438359,-150.576819
18,71.393297,-150.605154
18,71.394543,-150.605773
NaN,71.326739,-150.319551
23,71.273629,-150.259718
23,71.277072,-150.261715
NaN,71.150531,-151.067912
NaN,71.157561,-151.184949
20,71.407675,-150.210342
20,71.403277,-150.31077
22,71.326635,-150.329733
22,71.328259,-150.279715
24,71.228948,-150.285098
24,71.230181,-150.270124
26,71.139032,-150.368233
26,71.140124,-150.358198
20,71.403938,-150.329136
20,71.415744,-150.245823
22,71.316261,-150.337784
24,71.231658,-150.279616
24,NaN,NaN
24,71.230904,-150.279133
24,71.228679,-150.282398
24,71.232236,-150.251959
26,71.138052,-150.370532
26,71.139604,-150.357516
NaN,71.171944,-151.398259
NaN,71.17243,-151.405115
35,71.499901,-151.400096
35,71.499987,-151.40015
24,71.228761,-150.290609
25,71.182731,-150.311038
25,71.182938,-150.312962
NaN,71.433785,-150.920983
26,71.13825,-150.344608
26,71.13865,-150.34613
27,71.092579,-150.373831
27,71.092678,-150.374806
28,71.182166,-151.591264
28,71.182219,-151.591274
29,71.227209,-151.564099
29,71.227133,-151.564103
30,71.272334,-151.537187
30,71.272515,-151.5372
31,71.318511,-151.510074
31,71.319259,-151.510457
32,71.363783,-151.483882
32,71.366609,-151.4871
33,71.408913,-151.457446
33,71.411198,-151.459949
34,71.454633,-151.427355
34,71.455144,-151.427293
36,71.46968,-150.989061
36,71.469676,-150.989045
37,71.425731,-151.017244
37,71.428493,-151.017999
37,71.432071,-150.950088
37,71.433011,-150.921672
37,71.42962,-151.0145
37,71.432146,-150.953176
38,71.378972,-151.042679
38,71.37898,-151.042686
38,71.404495,-151.105708
38,71.402357,-151.069451
38,71.394793,-150.993924
38,71.408059,-150.96162
38,71.400399,-151.034162
NaN,71.082958,-150.804521
NaN,71.175079,-150.747316
NaN,71.329747,-150.700257
39,71.333098,-151.072638
39,71.334085,-151.076708
40,71.310864,-151.089366
40,71.310435,-151.087679
41,71.2881,-151.100721
41,71.288782,-151.102129
42,71.24284,-151.12841
42,71.242876,-151.129244
43,71.197438,-151.157229
43,71.197441,-151.157211
44,71.152239,-151.185256
44,71.152238,-151.185244
45,71.107152,-151.213806
45,71.10714,-151.213807
46,71.061584,-151.241143
46,71.061594,-151.241122
47,71.032939,-150.837732
47,71.03295,-150.837749
48,71.078697,-150.807416
49,71.123952,-150.780285
49,71.12385,-150.779992
50,71.169098,-150.751331
50,71.169094,-150.751326
51,71.300423,-150.707462
51,71.301253,-150.707892
51,71.31882,-150.859818
51,71.318865,-150.78202
51,71.292105,-150.673681
51,71.310559,-150.62148
NaN,71.242378,-151.153919
39,71.333239,-151.097405
39,71.33487,-151.086634
39,71.334551,-151.096314
42,71.242412,-151.154978
42,71.243552,-151.147667
42,71.241972,-151.157391
42,71.242191,-151.155117
44,71.151665,-151.2119
44,71.151962,-151.205571
44,71.151662,-151.20843
44,71.152048,-151.199944
46,71.060173,-151.266981
46,71.060414,-151.263153
46,71.060045,-151.267007
46,71.060233,-151.261646
51,71.301526,-150.705227
51,71.302079,-150.66487
53,71.425383,-151.044867
53,71.424178,-151.027791
53,71.424738,-151.047038
53,71.424027,-151.022648
55,71.335774,-151.104096
55,71.334324,-151.092804
55,71.335009,-151.098176
55,71.333495,-151.081883
58,71.243634,-151.147007
58,71.241869,-151.138508
58,71.243951,-151.150035
58,71.243051,-151.140182
52,71.469774,-150.989597
52,71.423828,-151.016797
53,71.423746,-151.01677
